county,pct_cox,pct_hogan
Allegany,66.09489225476611,81.69995750106247
Anne Arundel,43.77091392363006,68.58546460389344
Baltimore City,8.856447310088432,31.598724355815932
Baltimore County,35.73834042120077,61.09672007795828
Calvert,54.80392156862746,75.37419814682823
Caroline,64.70757983839938,82.47718383311604
Carroll,58.21742832812944,83.20342167326218
Cecil,65.2169228559115,77.45785511892154
Charles,30.24523160762943,49.34120571783717
Dorchester,56.62750137690472,74.43195601196734
Frederick,44.748669366648826,67.67457260373628
Garrett,74.52710076391415,86.04651162790698
Harford,53.739405793052065,77.10234312120747
Howard,27.318932655654383,56.194946402293155
Kent,45.12683578104139,73.26892109500805
Montgomery,19.953160159622563,44.075822421577364
Prince George's,8.836961823260763,28.19098076712071
Queen Anne's,57.69749258560258,84.90270340864569
Somerset,61.82327317983821,67.55388210854323
Talbot,46.80651807454579,77.41066520065971
Washington,59.88748425213954,76.82170389013298
Wicomico,52.58384914351518,67.57022723206299
Worcester,59.51969515707386,76.09345400968218
